,Unnamed: 0,date,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,RSI_16
653,653,5/29/2025 18:00,3322.21,3324.14,3318.53,3324.14,154,-0.000595643,-0.000797199,-0.003215869,-0.012673955,-0.018182146,range,98.0,1.0,-1.0,1.0,82.46669531443966
654,654,5/29/2025 19:00,3324.08,3325.4,3316.4,3321.25,159,0.000870154,0.000273993,-0.003315017,-0.007403839,-0.01547309,downward,99.0,1.0,-1.0,1.0,78.61039973136866
655,655,5/29/2025 20:00,3321.35,3321.35,3315.6,3316.66,157,0.001383922,0.002255281,0.001456284,-0.005249257,-0.012633191,range,100.0,1.0,-1.0,1.0,73.40782122773776
656,656,5/29/2025 21:00,3316.07,3317.94,3314.3,3317.06,157,-0.000120589,0.001263167,0.001537506,-0.000241177,-0.01416013,range,,,,,77.55485157662679
657,657,5/29/2025 22:00,3317.06,3317.06,3317.06,3317.06,1,0.0,-0.000120589,0.00213442,-0.001088313,-0.013617481,range,98.0,1.0,-1.0,1.0,77.07059810471873
658,658,5/29/2025 23:00,3319.73,3320.16,3312.4,3313.77,167,0.000992827,0.000992827,0.002257248,-0.001065252,-0.01277397,range,93.0,-1.0,-1.0,1.0,74.53344151942427
659,659,5/30/2025 0:00,3313.83,3316.76,3312.4,3315.15,163,-0.000416271,0.000576143,0.000455485,0.001912432,-0.008575781,downward,91.0,-1.0,-1.0,1.0,69.64211689772795
660,660,5/30/2025 1:00,3314.2,3318.56,3309.0,3311.82,160,0.001005489,0.0005888,0.001582212,0.00312215,-0.009143009,downward,87.0,-1.0,-1.0,1.0,71.46908678226943
661,661,5/30/2025 2:00,3313.28,3322.21,3308.51,3309.59,154,0.000673799,0.001679966,0.002257077,0.004396315,-0.008333359,downward,88.0,-1.0,-1.0,1.0,69.07858328568703
662,662,5/30/2025 3:00,3309.75,3311.88,3294.4,3296.83,160,0.003870385,0.004546792,0.005138269,0.007407115,-5.16e-05,range,86.0,-1.0,-1.0,1.0,50.12075578803538
663,663,5/30/2025 4:00,3296.39,3301.41,3291.58,3294.32,152,0.000761917,0.004635251,0.006323004,0.006781369,0.001496515,range,86.0,-1.0,-1.0,1.0,46.49409756685565
